"No.","Time","Source","Destination","Protocol","Length","Info","srcPort","DestPort"
"1","0.000000000","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"2","0.000034520","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"3","0.000057721","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"4","0.000080500","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"5","0.000103360","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"6","0.000126007","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"7","0.000148817","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"8","0.000172140","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"9","0.000194705","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"10","0.000217293","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"11","0.000239977","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"12","0.000262644","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"13","0.000285226","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"14","0.000307868","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"15","0.000330340","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"16","0.000352882","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"17","0.000375448","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"18","0.000398123","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"19","0.000420637","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"20","0.000443318","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"21","0.000465851","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"22","0.000488494","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"23","0.000510931","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"24","0.000533811","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"25","0.000556394","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"26","0.000578903","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"27","0.000601506","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"28","0.000624051","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"29","0.000646708","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"30","0.000669230","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"31","0.000691926","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"32","0.000714471","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"33","0.000737120","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"34","0.000759678","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"35","0.000815966","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"36","0.002048113","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"37","0.002223905","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"38","0.002249319","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"39","0.002272338","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"40","0.002327864","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"41","0.002368088","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"42","0.003907052","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"43","0.003936446","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"44","0.003959791","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"45","0.003983508","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"46","0.004006449","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"47","0.004029421","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"48","0.004052542","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"49","0.004075514","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"50","0.004098526","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"51","0.004121466","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"52","0.004144376","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"53","0.004167272","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"54","0.004190097","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"55","0.004213157","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"56","0.004236245","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"57","0.004259123","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"58","0.004281941","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"59","0.004334895","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"60","0.004378821","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"61","0.004414278","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"62","0.004438134","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"63","0.004460895","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"64","0.004483558","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"65","0.004506203","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"66","0.004528866","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"67","0.004551597","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"68","0.004574186","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"69","0.004596915","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"70","0.004619550","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"71","0.004642318","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"72","0.004664932","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"73","0.004687632","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"74","0.004710315","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"75","0.004733007","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"76","0.004755593","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"77","0.004778251","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"78","0.004800754","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"79","0.004823419","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"80","0.004846497","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"81","0.004869256","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"82","0.004891938","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"83","0.004914627","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"84","0.004937165","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"85","0.004960118","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"86","0.004982855","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"87","0.005005544","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"88","0.005028101","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"89","0.005050793","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"90","0.005073400","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"91","0.005096093","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"92","0.005119097","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"93","0.005142057","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"94","0.005164788","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"95","0.005187498","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"96","0.005210051","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"97","0.005232638","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"98","0.005255525","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"99","0.005278093","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"100","0.005302970","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"101","0.005372826","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"102","0.005414480","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"103","0.005451005","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"104","0.005474959","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"105","0.005497874","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"106","0.005521447","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"107","0.005544074","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"108","0.005566829","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"109","0.005589510","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"110","0.005612113","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"111","0.005634794","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"112","0.005657505","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"113","0.005680193","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"114","0.005702790","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"115","0.005726200","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"116","0.005748855","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"117","0.005771455","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"118","0.005794697","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"119","0.005817376","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"120","0.005840092","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"121","0.005862770","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"122","0.005885421","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"123","0.005908134","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"124","0.005930769","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"125","0.005953371","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"126","0.005975936","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"127","0.005998519","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"128","0.006021075","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"129","0.006043762","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"130","0.006066460","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
"131","0.006089181","10.0.0.1","10.0.1.1","UDP","42","53  >  0 Len=0","53","0"
